name;type;dataset;repetition;value
SDP;compression_time;data/text.txt;0;24.216000
SDP;compression_time;data/text.txt;1;18.967000
SDP;compression_time;data/text.txt;2;17.785000
SDP;compression_time;data/text.txt;3;17.679000
SDP;compression_time;data/text.txt;4;18.645000
SDP;compression_time;data/text.txt;5;22.355000
SDP;compression_time;data/text.txt;6;20.725000
SDP;compression_time;data/text.txt;7;17.978000
SDP;compression_time;data/text.txt;8;19.740000
SDP;compression_time;data/text.txt;9;16.123000
SDP;compression_time;data/text.txt;10;15.989000
SDP;compression_time;data/text.txt;11;15.981000
SDP;compression_time;data/text.txt;12;15.962000
SDP;compression_time;data/text.txt;13;15.794000
SDP;compression_time;data/text.txt;14;15.848000
SDP;compression_time;data/text.txt;15;15.843000
SDP;compression_time;data/text.txt;16;16.041000
SDP;compression_time;data/text.txt;17;15.939000
SDP;compression_time;data/text.txt;18;15.918000
SDP;compression_time;data/text.txt;19;16.049000
SDP;compression_time;data/text.txt;20;15.743000
SDP;compression_time;data/text.txt;21;15.799000
SDP;compression_time;data/text.txt;22;15.679000
SDP;compression_time;data/text.txt;23;15.811000
SDP;compression_time;data/text.txt;24;15.633000
SDP;compression_time;data/text.txt;25;15.660000
SDP;compression_time;data/text.txt;26;16.259000
SDP;compression_time;data/text.txt;27;15.620000
SDP;compression_time;data/text.txt;28;15.749000
SDP;compression_time;data/text.txt;29;15.695000
SDP;compression_time;data/text.txt;30;15.665000
SDP;compression_time;data/text.txt;31;15.700000
SDP;compression_time;data/text.txt;32;15.677000
SDP;compression_time;data/text.txt;33;15.824000
SDP;compression_time;data/text.txt;34;15.955000
SDP;compression_time;data/text.txt;35;15.839000
SDP;compression_time;data/text.txt;36;15.763000
SDP;compression_time;data/text.txt;37;15.654000
SDP;compression_time;data/text.txt;38;15.662000
SDP;compression_time;data/text.txt;39;15.779000
SDP;compression_time;data/text.txt;40;15.859000
SDP;compression_time;data/text.txt;41;15.690000
SDP;compression_time;data/text.txt;42;15.706000
SDP;compression_time;data/text.txt;43;15.674000
SDP;compression_time;data/text.txt;44;16.120000
SDP;compression_time;data/text.txt;45;15.890000
SDP;compression_time;data/text.txt;46;15.877000
SDP;compression_time;data/text.txt;47;15.843000
SDP;compression_time;data/text.txt;48;15.907000
SDP;compression_time;data/text.txt;49;15.906000
SDP;compression_time;data/text.txt;50;15.859000
SDP;compression_time;data/text.txt;51;15.868000
SDP;compression_time;data/text.txt;52;15.892000
SDP;compression_time;data/text.txt;53;15.881000
SDP;compression_time;data/text.txt;54;15.831000
SDP;compression_time;data/text.txt;55;15.855000
SDP;compression_time;data/text.txt;56;15.842000
SDP;compression_time;data/text.txt;57;15.888000
SDP;compression_time;data/text.txt;58;15.930000
SDP;compression_time;data/text.txt;59;16.080000
SDP;compression_time;data/text.txt;60;16.589000
SDP;compression_time;data/text.txt;61;16.101000
SDP;compression_time;data/text.txt;62;16.034000
SDP;compression_time;data/text.txt;63;15.949000
SDP;compression_time;data/text.txt;64;15.858000
SDP;compression_time;data/text.txt;65;16.196000
SDP;compression_time;data/text.txt;66;15.844000
SDP;compression_time;data/text.txt;67;15.825000
SDP;compression_time;data/text.txt;68;15.831000
SDP;compression_time;data/text.txt;69;15.849000
SDP;compression_time;data/text.txt;70;15.827000
SDP;compression_time;data/text.txt;71;15.991000
SDP;compression_time;data/text.txt;72;15.829000
SDP;compression_time;data/text.txt;73;16.150000
SDP;compression_time;data/text.txt;74;15.773000
SDP;compression_time;data/text.txt;75;15.795000
SDP;compression_time;data/text.txt;76;15.771000
SDP;compression_time;data/text.txt;77;15.897000
SDP;compression_time;data/text.txt;78;15.878000
SDP;compression_time;data/text.txt;79;15.837000
SDP;compression_time;data/text.txt;80;15.819000
SDP;compression_time;data/text.txt;81;15.809000
SDP;compression_time;data/text.txt;82;15.753000
SDP;compression_time;data/text.txt;83;15.792000
SDP;compression_time;data/text.txt;84;15.789000
SDP;compression_time;data/text.txt;85;15.785000
SDP;compression_time;data/text.txt;86;15.763000
SDP;compression_time;data/text.txt;87;15.774000
SDP;compression_time;data/text.txt;88;15.817000
SDP;compression_time;data/text.txt;89;15.768000
SDP;compression_time;data/text.txt;90;16.092000
SDP;compression_time;data/text.txt;91;16.353000
SDP;compression_time;data/text.txt;92;15.829000
SDP;compression_time;data/text.txt;93;15.818000
SDP;compression_time;data/text.txt;94;15.782000
SDP;compression_time;data/text.txt;95;15.812000
SDP;compression_time;data/text.txt;96;15.772000
SDP;compression_time;data/text.txt;97;15.779000
SDP;compression_time;data/text.txt;98;15.786000
SDP;compression_time;data/text.txt;99;15.759000
SDP;dataset_size;data/text.txt;0;543
SDP;compressed_size;data/text.txt;0;435
SDP;random_access_time;data/text.txt;0;0.065930
SDP;random_access_time;data/text.txt;1;0.066450
SDP;random_access_time;data/text.txt;2;0.068120
SDP;random_access_time;data/text.txt;3;0.070320
SDP;random_access_time;data/text.txt;4;0.067810
SDP;random_access_time;data/text.txt;5;0.068140
SDP;random_access_time;data/text.txt;6;0.069010
SDP;random_access_time;data/text.txt;7;0.071070
SDP;random_access_time;data/text.txt;8;0.068820
SDP;random_access_time;data/text.txt;9;0.067100
SDP;random_access_time;data/text.txt;10;0.071380
SDP;random_access_time;data/text.txt;11;0.073460
SDP;random_access_time;data/text.txt;12;0.076450
SDP;random_access_time;data/text.txt;13;0.077450
SDP;random_access_time;data/text.txt;14;0.074370
SDP;random_access_time;data/text.txt;15;0.074730
SDP;random_access_time;data/text.txt;16;0.074340
SDP;random_access_time;data/text.txt;17;0.066760
SDP;random_access_time;data/text.txt;18;0.066040
SDP;random_access_time;data/text.txt;19;0.066120
SDP;random_access_time;data/text.txt;20;0.065560
SDP;random_access_time;data/text.txt;21;0.065450
SDP;random_access_time;data/text.txt;22;0.065420
SDP;random_access_time;data/text.txt;23;0.076340
SDP;random_access_time;data/text.txt;24;0.065090
SDP;random_access_time;data/text.txt;25;0.065110
SDP;random_access_time;data/text.txt;26;0.065050
SDP;random_access_time;data/text.txt;27;0.065010
SDP;random_access_time;data/text.txt;28;0.064930
SDP;random_access_time;data/text.txt;29;0.065050
SDP;random_access_time;data/text.txt;30;0.065000
SDP;random_access_time;data/text.txt;31;0.065200
SDP;random_access_time;data/text.txt;32;0.064910
SDP;random_access_time;data/text.txt;33;0.065090
SDP;random_access_time;data/text.txt;34;0.065120
SDP;random_access_time;data/text.txt;35;0.064880
SDP;random_access_time;data/text.txt;36;0.065110
SDP;random_access_time;data/text.txt;37;0.064970
SDP;random_access_time;data/text.txt;38;0.065090
SDP;random_access_time;data/text.txt;39;0.065030
SDP;random_access_time;data/text.txt;40;0.064730
SDP;random_access_time;data/text.txt;41;0.064610
SDP;random_access_time;data/text.txt;42;0.064780
SDP;random_access_time;data/text.txt;43;0.064640
SDP;random_access_time;data/text.txt;44;0.064760
SDP;random_access_time;data/text.txt;45;0.064620
SDP;random_access_time;data/text.txt;46;0.064440
SDP;random_access_time;data/text.txt;47;0.064440
SDP;random_access_time;data/text.txt;48;0.064300
SDP;random_access_time;data/text.txt;49;0.064120
SDP;random_access_time;data/text.txt;50;0.064190
SDP;random_access_time;data/text.txt;51;0.064310
SDP;random_access_time;data/text.txt;52;0.064610
SDP;random_access_time;data/text.txt;53;0.064510
SDP;random_access_time;data/text.txt;54;0.064480
SDP;random_access_time;data/text.txt;55;0.064360
SDP;random_access_time;data/text.txt;56;0.064690
SDP;random_access_time;data/text.txt;57;0.064100
SDP;random_access_time;data/text.txt;58;0.064410
SDP;random_access_time;data/text.txt;59;0.064090
SDP;random_access_time;data/text.txt;60;0.064460
SDP;random_access_time;data/text.txt;61;0.064230
SDP;random_access_time;data/text.txt;62;0.064410
SDP;random_access_time;data/text.txt;63;0.064690
SDP;random_access_time;data/text.txt;64;0.064600
SDP;random_access_time;data/text.txt;65;0.064310
SDP;random_access_time;data/text.txt;66;0.064560
SDP;random_access_time;data/text.txt;67;0.064320
SDP;random_access_time;data/text.txt;68;0.064550
SDP;random_access_time;data/text.txt;69;0.064170
SDP;random_access_time;data/text.txt;70;0.064300
SDP;random_access_time;data/text.txt;71;0.064210
SDP;random_access_time;data/text.txt;72;0.064160
SDP;random_access_time;data/text.txt;73;0.064390
SDP;random_access_time;data/text.txt;74;0.064220
SDP;random_access_time;data/text.txt;75;0.064220
SDP;random_access_time;data/text.txt;76;0.064390
SDP;random_access_time;data/text.txt;77;0.064050
SDP;random_access_time;data/text.txt;78;0.064330
SDP;random_access_time;data/text.txt;79;0.064190
SDP;random_access_time;data/text.txt;80;0.064250
SDP;random_access_time;data/text.txt;81;0.064040
SDP;random_access_time;data/text.txt;82;0.064100
SDP;random_access_time;data/text.txt;83;0.064550
SDP;random_access_time;data/text.txt;84;0.064810
SDP;random_access_time;data/text.txt;85;0.064310
SDP;random_access_time;data/text.txt;86;0.064350
SDP;random_access_time;data/text.txt;87;0.064250
SDP;random_access_time;data/text.txt;88;0.064260
SDP;random_access_time;data/text.txt;89;0.064230
SDP;random_access_time;data/text.txt;90;0.064240
SDP;random_access_time;data/text.txt;91;0.064520
SDP;random_access_time;data/text.txt;92;0.064220
SDP;random_access_time;data/text.txt;93;0.064250
SDP;random_access_time;data/text.txt;94;0.064230
SDP;random_access_time;data/text.txt;95;0.064110
SDP;random_access_time;data/text.txt;96;0.064180
SDP;random_access_time;data/text.txt;97;0.064290
SDP;random_access_time;data/text.txt;98;0.064260
SDP;random_access_time;data/text.txt;99;0.064700
SDP;sequential_access_time;data/text.txt;0;0.000060
SDP;sequential_access_time;data/text.txt;1;0.000000
SDP;sequential_access_time;data/text.txt;2;0.000000
SDP;sequential_access_time;data/text.txt;3;0.000030
SDP;sequential_access_time;data/text.txt;4;0.000080
SDP;sequential_access_time;data/text.txt;5;0.000000
SDP;sequential_access_time;data/text.txt;6;0.000140
SDP;sequential_access_time;data/text.txt;7;0.000070
SDP;sequential_access_time;data/text.txt;8;0.000070
SDP;sequential_access_time;data/text.txt;9;0.000060
SDP;sequential_access_time;data/text.txt;10;0.000000
SDP;sequential_access_time;data/text.txt;11;0.000000
SDP;sequential_access_time;data/text.txt;12;0.000000
SDP;sequential_access_time;data/text.txt;13;0.000240
SDP;sequential_access_time;data/text.txt;14;0.000000
SDP;sequential_access_time;data/text.txt;15;0.000040
SDP;sequential_access_time;data/text.txt;16;0.000050
SDP;sequential_access_time;data/text.txt;17;0.000000
SDP;sequential_access_time;data/text.txt;18;0.000020
SDP;sequential_access_time;data/text.txt;19;0.000020
SDP;sequential_access_time;data/text.txt;20;0.000000
SDP;sequential_access_time;data/text.txt;21;0.000000
SDP;sequential_access_time;data/text.txt;22;0.000030
SDP;sequential_access_time;data/text.txt;23;0.000080
SDP;sequential_access_time;data/text.txt;24;0.000000
SDP;sequential_access_time;data/text.txt;25;0.000150
SDP;sequential_access_time;data/text.txt;26;0.000000
SDP;sequential_access_time;data/text.txt;27;0.000030
SDP;sequential_access_time;data/text.txt;28;0.000000
SDP;sequential_access_time;data/text.txt;29;0.000000
