name;type;dataset;repetition;value
SDP;compression_time;data/text.txt;0;30.000000
SDP;compression_time;data/text.txt;1;18.844000
SDP;compression_time;data/text.txt;2;15.955000
SDP;compression_time;data/text.txt;3;15.637000
SDP;compression_time;data/text.txt;4;15.960000
SDP;compression_time;data/text.txt;5;15.867000
SDP;compression_time;data/text.txt;6;15.892000
SDP;compression_time;data/text.txt;7;15.842000
SDP;compression_time;data/text.txt;8;15.863000
SDP;compression_time;data/text.txt;9;15.955000
SDP;compression_time;data/text.txt;10;15.804000
SDP;compression_time;data/text.txt;11;15.752000
SDP;compression_time;data/text.txt;12;15.768000
SDP;compression_time;data/text.txt;13;15.833000
SDP;compression_time;data/text.txt;14;15.721000
SDP;compression_time;data/text.txt;15;15.729000
SDP;compression_time;data/text.txt;16;15.710000
SDP;compression_time;data/text.txt;17;15.747000
SDP;compression_time;data/text.txt;18;15.793000
SDP;compression_time;data/text.txt;19;15.776000
SDP;compression_time;data/text.txt;20;15.758000
SDP;compression_time;data/text.txt;21;15.730000
SDP;compression_time;data/text.txt;22;15.756000
SDP;compression_time;data/text.txt;23;15.739000
SDP;compression_time;data/text.txt;24;15.758000
SDP;compression_time;data/text.txt;25;15.796000
SDP;compression_time;data/text.txt;26;15.734000
SDP;compression_time;data/text.txt;27;15.830000
SDP;compression_time;data/text.txt;28;15.815000
SDP;compression_time;data/text.txt;29;15.726000
SDP;compression_time;data/text.txt;30;15.716000
SDP;compression_time;data/text.txt;31;15.761000
SDP;compression_time;data/text.txt;32;15.806000
SDP;compression_time;data/text.txt;33;15.716000
SDP;compression_time;data/text.txt;34;15.758000
SDP;compression_time;data/text.txt;35;15.631000
SDP;compression_time;data/text.txt;36;15.723000
SDP;compression_time;data/text.txt;37;15.784000
SDP;compression_time;data/text.txt;38;15.750000
SDP;compression_time;data/text.txt;39;15.734000
SDP;compression_time;data/text.txt;40;15.716000
SDP;compression_time;data/text.txt;41;15.793000
SDP;compression_time;data/text.txt;42;15.725000
SDP;compression_time;data/text.txt;43;15.876000
SDP;compression_time;data/text.txt;44;15.741000
SDP;compression_time;data/text.txt;45;15.910000
SDP;compression_time;data/text.txt;46;15.722000
SDP;compression_time;data/text.txt;47;15.774000
SDP;compression_time;data/text.txt;48;15.748000
SDP;compression_time;data/text.txt;49;15.718000
SDP;compression_time;data/text.txt;50;15.822000
SDP;compression_time;data/text.txt;51;15.759000
SDP;compression_time;data/text.txt;52;15.734000
SDP;compression_time;data/text.txt;53;15.741000
SDP;compression_time;data/text.txt;54;15.799000
SDP;compression_time;data/text.txt;55;15.845000
SDP;compression_time;data/text.txt;56;15.789000
SDP;compression_time;data/text.txt;57;15.740000
SDP;compression_time;data/text.txt;58;15.776000
SDP;compression_time;data/text.txt;59;15.504000
SDP;compression_time;data/text.txt;60;15.714000
SDP;compression_time;data/text.txt;61;15.738000
SDP;compression_time;data/text.txt;62;15.801000
SDP;compression_time;data/text.txt;63;15.802000
SDP;compression_time;data/text.txt;64;15.779000
SDP;compression_time;data/text.txt;65;15.830000
SDP;compression_time;data/text.txt;66;15.615000
SDP;compression_time;data/text.txt;67;15.622000
SDP;compression_time;data/text.txt;68;15.801000
SDP;compression_time;data/text.txt;69;15.742000
SDP;compression_time;data/text.txt;70;15.830000
SDP;compression_time;data/text.txt;71;15.802000
SDP;compression_time;data/text.txt;72;15.795000
SDP;compression_time;data/text.txt;73;15.719000
SDP;compression_time;data/text.txt;74;15.723000
SDP;compression_time;data/text.txt;75;15.775000
SDP;compression_time;data/text.txt;76;15.738000
SDP;compression_time;data/text.txt;77;15.790000
SDP;compression_time;data/text.txt;78;15.732000
SDP;compression_time;data/text.txt;79;15.723000
SDP;compression_time;data/text.txt;80;15.882000
SDP;compression_time;data/text.txt;81;15.960000
SDP;compression_time;data/text.txt;82;15.919000
SDP;compression_time;data/text.txt;83;15.735000
SDP;compression_time;data/text.txt;84;15.780000
SDP;compression_time;data/text.txt;85;15.776000
SDP;compression_time;data/text.txt;86;15.738000
SDP;compression_time;data/text.txt;87;15.788000
SDP;compression_time;data/text.txt;88;15.762000
SDP;compression_time;data/text.txt;89;15.882000
SDP;compression_time;data/text.txt;90;15.600000
SDP;compression_time;data/text.txt;91;15.600000
SDP;compression_time;data/text.txt;92;15.867000
SDP;compression_time;data/text.txt;93;15.842000
SDP;compression_time;data/text.txt;94;15.577000
SDP;compression_time;data/text.txt;95;15.656000
SDP;compression_time;data/text.txt;96;15.859000
SDP;compression_time;data/text.txt;97;16.013000
SDP;compression_time;data/text.txt;98;20.060000
